LOOP t=3 P=2,3,11,17,101,149,3109, N=52495396602 A=1
T2ITER t=2 P=2,3,11,17,101,149,3119,971197, N=51147358093459254 A=82433885
T2ITER t=2 P=2,3,11,17,101,149,3119,971207, N=51147884735923074 A=82976995
T2ITER t=2 P=2,3,11,17,101,149,3119,971237, N=51149464663314534 A=84606325
T2ITER t=2 P=2,3,11,17,101,149,3119,971251, N=51150201962763882 A=85366679
T2ITER t=2 P=2,3,11,17,101,149,3119,971263, N=51150833933720466 A=86018411
T2ITER t=2 P=2,3,11,17,101,149,3119,971273, N=51151360576184286 A=86561521
T2ITER t=2 P=2,3,11,17,101,149,3119,971279, N=51151676561662578 A=86887387
T2ITER t=2 P=2,3,11,17,101,149,3119,971281, N=51151781890155342 A=86996009
T2ITER t=2 P=2,3,11,17,101,149,3119,971291, N=51152308532619162 A=87539119
T2ITER t=2 P=2,3,11,17,101,149,3119,971309, N=51153256489054038 A=88516717
T2ITER t=2 P=2,3,11,17,101,149,3119,971339, N=51154836416445498 A=90146047
T2ITER t=2 P=2,3,11,17,101,149,3119,971353, N=51155573715894846 A=90906401
T2ITER t=2 P=2,3,11,17,101,149,3119,971357, N=51155784372880374 A=91123645
T2ITER t=2 P=2,3,11,17,101,149,3119,971371, N=51156521672329722 A=91883999
T2ITER t=2 P=2,3,11,17,101,149,3119,971381, N=51157048314793542 A=92427109
T2ITER t=2 P=2,3,11,17,101,149,3119,971387, N=51157364300271834 A=92752975
T2ITER t=2 P=2,3,11,17,101,149,3119,971389, N=51157469628764598 A=92861597
T2ITER t=2 P=2,3,11,17,101,149,3119,971401, N=51158101599721182 A=93513329
T2ITER t=2 P=2,3,11,17,101,149,3119,971419, N=51159049556156058 A=94490927
T2ITER t=2 P=2,3,11,17,101,149,3119,971429, N=51159576198619878 A=95034037
T2ITER t=2 P=2,3,11,17,101,149,3119,971441, N=51160208169576462 A=95685769
T2ITER t=2 P=2,3,11,17,101,149,3119,971473, N=51161893425460686 A=97423721
T2ITER t=2 P=2,3,11,17,101,149,3119,971479, N=51162209410938978 A=97749587
T2ITER t=2 P=2,3,11,17,101,149,3119,971483, N=51162420067924506 A=97966831
T2ITER t=2 P=2,3,11,17,101,149,3119,971491, N=51162841381895562 A=98401319
T2ITER t=2 P=2,3,11,17,101,149,3119,971501, N=51163368024359382 A=98944429
T2ITER t=2 P=2,3,11,17,101,149,3119,971513, N=51163999995315966 A=99596161
T2ITER t=2 P=2,3,11,17,101,149,3119,971521, N=51164421309287022 A=100030649
T2ITER t=2 P=2,3,11,17,101,149,3119,971549, N=51165895908185718 A=101551357
T2ITER t=2 P=2,3,11,17,101,149,3119,971561, N=51166527879142302 A=102203089
T2ITER t=2 P=2,3,11,17,101,149,3119,971563, N=51166633207635066 A=102311711
T2ITER t=2 P=2,3,11,17,101,149,3119,971569, N=51166949193113358 A=102637577
T2ITER t=2 P=2,3,11,17,101,149,3119,971591, N=51168107806533762 A=103832419
T2ITER t=2 P=2,3,11,17,101,149,3119,971639, N=51170635690360098 A=106439347
T2ITER t=2 P=2,3,11,17,101,149,3119,971651, N=51171267661316682 A=107091079
T2ITER t=2 P=2,3,11,17,101,149,3119,971653, N=51171372989809446 A=107199701
T2ITER t=2 P=2,3,11,17,101,149,3119,971683, N=51172952917200906 A=108829031
T2ITER t=2 P=2,3,11,17,101,149,3119,971693, N=51173479559664726 A=109372141
T2ITER t=2 P=2,3,11,17,101,149,3119,971699, N=51173795545143018 A=109698007
T2ITER t=2 P=2,3,11,17,101,149,3119,971713, N=51174532844592366 A=110458361
T2ITER t=2 P=2,3,11,17,101,149,3119,971723, N=51175059487056186 A=111001471
T2ITER t=2 P=2,3,11,17,101,149,3119,971753, N=51176639414447646 A=112630801
T2ITER t=2 P=2,3,11,17,101,149,3119,971759, N=51176955399925938 A=112956667
T2ITER t=2 P=2,3,11,17,101,149,3119,971767, N=51177376713896994 A=113391155
T2ITER t=2 P=2,3,11,17,101,149,3119,971783, N=51178219341839106 A=114260131
T2ITER t=2 P=2,3,11,17,101,149,3119,971821, N=51180220583201622 A=116323949
T2ITER t=2 P=2,3,11,17,101,149,3119,971833, N=51180852554158206 A=116975681
T2ITER t=2 P=2,3,11,17,101,149,3119,971851, N=51181800510593082 A=117953279
T2ITER t=2 P=2,3,11,17,101,149,3119,971857, N=51182116496071374 A=118279145
T2ITER t=2 P=2,3,11,17,101,149,3119,971863, N=51182432481549666 A=118605011
T2ITER t=2 P=2,3,11,17,101,149,3119,971899, N=51184328394419418 A=120560207
T2ITER t=2 P=2,3,11,17,101,149,3119,971903, N=51184539051404946 A=120777451
T2ITER t=2 P=2,3,11,17,101,149,3119,971917, N=51185276350854294 A=121537805
T2ITER t=2 P=2,3,11,17,101,149,3119,971921, N=51185487007839822 A=121755049
T2ITER t=2 P=2,3,11,17,101,149,3119,971933, N=51186118978796406 A=122406781
T2ITER t=2 P=2,3,11,17,101,149,3119,971939, N=51186434964274698 A=122732647
T2ITER t=2 P=2,3,11,17,101,149,3119,971951, N=51187066935231282 A=123384379
T2ITER t=2 P=2,3,11,17,101,149,3119,971959, N=51187488249202338 A=123818867
T2ITER t=2 P=2,3,11,17,101,149,3119,971977, N=51188436205637214 A=124796465
T2ITER t=2 P=2,3,11,17,101,149,3119,971981, N=51188646862622742 A=125013709
T2ITER t=2 P=2,3,11,17,101,149,3119,971989, N=51189068176593798 A=125448197
T2ITER t=2 P=2,3,11,17,101,149,3119,972001, N=51189700147550382 A=126099929
T2ITER t=2 P=2,3,11,17,101,149,3119,972017, N=51190542775492494 A=126968905
T2ITER t=2 P=2,3,11,17,101,149,3119,972029, N=51191174746449078 A=127620637
T2ITER t=2 P=2,3,11,17,101,149,3119,972031, N=51191280074941842 A=127729259
T2ITER t=2 P=2,3,11,17,101,149,3119,972047, N=51192122702883954 A=128598235
T2ITER t=2 P=2,3,11,17,101,149,3119,972071, N=51193386644797122 A=129901699
T2ITER t=2 P=2,3,11,17,101,149,3119,972079, N=51193807958768178 A=130336187
T2ITER t=2 P=2,3,11,17,101,149,3119,972091, N=51194439929724762 A=130987919
T2ITER t=2 P=2,3,11,17,101,149,3119,972113, N=51195598543145166 A=132182761
T2ITER t=2 P=2,3,11,17,101,149,3119,972119, N=51195914528623458 A=132508627
T2ITER t=2 P=2,3,11,17,101,149,3119,972121, N=51196019857116222 A=132617249
T2ITER t=2 P=2,3,11,17,101,149,3119,972131, N=51196546499580042 A=133160359
T2ITER t=2 P=2,3,11,17,101,149,3119,972133, N=51196651828072806 A=133268981
T2ITER t=2 P=2,3,11,17,101,149,3119,972137, N=51196862485058334 A=133486225
T2ITER t=2 P=2,3,11,17,101,149,3119,972161, N=51198126426971502 A=134789689
T2ITER t=2 P=2,3,11,17,101,149,3119,972163, N=51198231755464266 A=134898311
T2ITER t=2 P=2,3,11,17,101,149,3119,972197, N=51200022339841254 A=136744885
T2ITER t=2 P=2,3,11,17,101,149,3119,972199, N=51200127668334018 A=136853507
T2ITER t=2 P=2,3,11,17,101,149,3119,972221, N=51201286281754422 A=138048349
T2ITER t=2 P=2,3,11,17,101,149,3119,972227, N=51201602267232714 A=138374215
T2ITER t=2 P=2,3,11,17,101,149,3119,972229, N=51201707595725478 A=138482837
T2ITER t=2 P=2,3,11,17,101,149,3119,972259, N=51203287523116938 A=140112167
T2ITER t=2 P=2,3,11,17,101,149,3119,972263, N=51203498180102466 A=140329411
T2ITER t=2 P=2,3,11,17,101,149,3119,972271, N=51203919494073522 A=140763899
T2ITER t=2 P=2,3,11,17,101,149,3119,972277, N=51204235479551814 A=141089765
T2ITER t=2 P=2,3,11,17,101,149,3119,972313, N=51206131392421566 A=143044961
T2ITER t=2 P=2,3,11,17,101,149,3119,972319, N=51206447377899858 A=143370827
T2ITER t=2 P=2,3,11,17,101,149,3119,972329, N=51206974020363678 A=143913937
T2ITER t=2 P=2,3,11,17,101,149,3119,972337, N=51207395334334734 A=144348425
T2ITER t=2 P=2,3,11,17,101,149,3119,972343, N=51207711319813026 A=144674291
T2ITER t=2 P=2,3,11,17,101,149,3119,972347, N=51207921976798554 A=144891535
T2ITER t=2 P=2,3,11,17,101,149,3119,972353, N=51208237962276846 A=145217401
T2ITER t=2 P=2,3,11,17,101,149,3119,972373, N=51209291247204486 A=146303621
T2ITER t=2 P=2,3,11,17,101,149,3119,972403, N=51210871174595946 A=147932951
T2ITER t=2 P=2,3,11,17,101,149,3119,972407, N=51211081831581474 A=148150195
T2ITER t=2 P=2,3,11,17,101,149,3119,972409, N=51211187160074238 A=148258817
T2ITER t=2 P=2,3,11,17,101,149,3119,972427, N=51212135116509114 A=149236415
T2ITER t=2 P=2,3,11,17,101,149,3119,972431, N=51212345773494642 A=149453659
T2ITER t=2 P=2,3,11,17,101,149,3119,972443, N=51212977744451226 A=150105391
T2ITER t=2 P=2,3,11,17,101,149,3119,972469, N=51214347014857158 A=151517477
T2ITER t=2 P=2,3,11,17,101,149,3119,972473, N=51214557671842686 A=151734721
T2ITER t=2 P=2,3,11,17,101,149,3119,972481, N=51214978985813742 A=152169209
T2ITER t=2 P=2,3,11,17,101,149,3119,972493, N=51215610956770326 A=152820941
T2ITER t=2 P=2,3,11,17,101,149,3119,972533, N=51217717526625606 A=154993381
T2ITER t=2 P=2,3,11,17,101,149,3119,972557, N=51218981468538774 A=156296845
T2ITER t=2 P=2,3,11,17,101,149,3119,972577, N=51220034753466414 A=157383065
T2ITER t=2 P=2,3,11,17,101,149,3119,972581, N=51220245410451942 A=157600309
T2ITER t=2 P=2,3,11,17,101,149,3119,972599, N=51221193366886818 A=158577907
T2ITER t=2 P=2,3,11,17,101,149,3119,972611, N=51221825337843402 A=159229639
T2ITER t=2 P=2,3,11,17,101,149,3119,972613, N=51221930666336166 A=159338261
T2ITER t=2 P=2,3,11,17,101,149,3119,972623, N=51222457308799986 A=159881371
T2ITER t=2 P=2,3,11,17,101,149,3119,972637, N=51223194608249334 A=160641725
T2ITER t=2 P=2,3,11,17,101,149,3119,972649, N=51223826579205918 A=161293457
T2ITER t=2 P=2,3,11,17,101,149,3119,972661, N=51224458550162502 A=161945189
T2ITER t=2 P=2,3,11,17,101,149,3119,972679, N=51225406506597378 A=162922787
T2ITER t=2 P=2,3,11,17,101,149,3119,972683, N=51225617163582906 A=163140031
T2ITER t=2 P=2,3,11,17,101,149,3119,972701, N=51226565120017782 A=164117629
T2ITER t=2 P=2,3,11,17,101,149,3119,972721, N=51227618404945422 A=165203849
T2ITER t=2 P=2,3,11,17,101,149,3119,972787, N=51231094245206634 A=168788375
T2ITER t=2 P=2,3,11,17,101,149,3119,972793, N=51231410230684926 A=169114241
