search v2: odd=True, N_CAP=1.00e+24, DELTA_MAX=1.0e+07, MIN_DEPTH=6
SPF shard: smallest prime factor = 3
P2 sub-shard: second prime factor = 5
P3 sub-sub-shard: third prime factor = 13
CAND 47577294375 7949490 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6043, 1)]
CAND 47608786875 7944330 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6047, 1)]
CAND 47656025625 7936590 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6053, 1)]
CAND 47766249375 7918530 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6067, 1)]
CAND 47813488125 7910790 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6073, 1)]
CAND 47860726875 7903050 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6079, 1)]
CAND 47939458125 7890150 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6089, 1)]
CAND 47955204375 7887570 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6091, 1)]
CAND 48033935625 7874670 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6101, 1)]
CAND 48128413125 7859190 [(3, 1), (5, 4), (13, 1), (17, 1), (19, 1), (6113, 1)]
